dyad_season_year,dyad_ID,ID1,ID2,PackID,Species1,species2,coyote,wolf,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,LoCoOL,KernelOL,Adult
W30226_W33651_den_2014,W30226_W33651,W30226,W33651,Cleve1,coyote,coyote,1,0,0,0,0,0,Ohio_N_Cleveland,den,nw,1,0,0,0.297488731,0.653713768,0.926293991,1
W30226_W33651_rend_2014,W30226_W33651,W30226,W33651,Cleve1,coyote,coyote,1,0,0,0,0,0,Ohio_N_Cleveland,rend,nw,0,1,0,0.292984088,0.714051887,0.963760143,1
W30226_W33651_winter_2013_2014,W30226_W33651,W30226,W33651,Cleve1,coyote,coyote,1,0,0,0,0,0,Ohio_N_Cleveland,winter,winter,0,0,1,0.187783098,0.481791947,0.843875898,0
B081_B082_winter_2011_2012,B081_B082,B081,B082,Boreal1,GW,wolf,0,1,1,0,0,0,NWT_central,winter,winter,0,0,1,0.901457321,0.754045104,0.995507961,1
BAP1405_BAP1406_winter_2014_2015,BAP1405_BAP1406,BAP1405,BAP1406,Brule,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.485006519,0.776247993,0.975501678,0
BCW1_BCW2_winter_2009_2010,BCW1_BCW2,BCW1,BCW2,Beaver_Creek,GW,wolf,0,1,1,0,0,0,Alaska_YukonFlatsNWR,winter,winter,0,0,1,0.932300054,0.876739739,0.998691523,0
BCW26819_BCW32120_den_2019,BCW26819_BCW32120,BCW26819,BCW32120,Tagai Lake,GW,wolf,0,1,1,0,0,0,BritishColumbia_W_PrinceGeorge,den,nw,1,0,0,0.269324654,0.663106646,0.940774282,1
BCW26819_BCW32120_rend_2019,BCW26819_BCW32120,BCW26819,BCW32120,Tagai Lake,GW,wolf,0,1,1,0,0,0,BritishColumbia_W_PrinceGeorge,rend,nw,0,1,0,0.4322156,0.718861703,0.960040567,1
BCW26819_BCW32120_winter_2018_2019,BCW26819_BCW32120,BCW26819,BCW32120,Tagai Lake,GW,wolf,0,1,1,0,0,0,BritishColumbia_W_PrinceGeorge,winter,winter,0,0,1,0.441924078,0.709978104,0.976099252,1
BPW1701_BPW1703_den_2017,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.223730103,0.505486042,0.931693182,1
BPW1701_BPW1703_den_2018,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.486618005,0.595513954,0.934876041,1
BPW1701_BPW1703_rend_2017,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.27638191,0.723840188,0.929347274,1
BPW1701_BPW1703_rend_2018,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.571500567,0.750167088,0.976988339,1
BPW1701_BPW1703_winter_2016_2017,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.511111111,0.631756872,0.928196306,1
BPW1701_BPW1703_winter_2017_2018,BPW1701_BPW1703,BPW1701,BPW1703,Oxtongue,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.457508034,0.697379557,0.935902112,1
BQE1404_BQE1527_rend_2015,BQE1404_BQE1527,BQE1404,BQE1527,Bob Caygeon,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.062154696,0.597055934,0.915560576,0
BQE1404_BQE1529_rend_2015,BQE1404_BQE1529,BQE1404,BQE1529,Bob Caygeon,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.347094801,0.644704706,0.979081101,0
BW008_BW009_den_2013,BW008_BW009,BW008,BW009,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.581894923,0.660642162,0.966764197,NA
BW008_BW009_rend_2013,BW008_BW009,BW008,BW009,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.361778846,0.530079502,0.950377518,NA
BW008_BW014_den_2013,BW008_BW014,BW008,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.308665479,0.527691509,0.964913725,NA
BW008_BW014_den_2014,BW008_BW014,BW008,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.325767182,0.665186305,0.9650656,NA
BW008_BW014_rend_2013,BW008_BW014,BW008,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.315082406,0.630284777,0.969634943,NA
BW008_BW014_winter_2013_2014,BW008_BW014,BW008,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.818181818,0.947068468,0.998363923,NA
BW009_BW014_den_2013,BW009_BW014,BW009,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.314094468,0.555302184,0.923524446,NA
BW009_BW014_rend_2013,BW009_BW014,BW009,BW014,Tsimeh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.224976168,0.153452879,0.967080035,NA
BW017_BW018_den_2013,BW017_BW018,BW017,BW018,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.758415599,0.952820879,0.999734832,NA
BW017_BW018_rend_2013,BW017_BW018,BW017,BW018,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.807998033,0.953896858,0.996445217,NA
BW017_BW018_winter_2012_2013,BW017_BW018,BW017,BW018,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.99,0.992636007,0.999885124,NA
BW021_BW030_den_2014,BW021_BW030,BW021,BW030,Clarke,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.247717162,0.517843659,0.838547703,NA
BW021_BW031_den_2014,BW021_BW031,BW021,BW031,Clarke,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.330508475,0.531076353,0.824406285,NA
BW024_BW025_den_2014,BW024_BW025,BW024,BW025,Kwokullie,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.172578348,0.070871492,0.545143753,1
BW024_BW025_rend_2014,BW024_BW025,BW024,BW025,Kwokullie,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.10078011,0.212914567,0.53209083,1
BW024_BW025_winter_2013_2014,BW024_BW025,BW024,BW025,Kwokullie,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.171974522,0.69800077,0.987258192,1
BW030_BW031_den_2014,BW030_BW031,BW030,BW031,Clarke,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.357142857,0.585203364,0.941744877,1
BW030_BW031_winter_2013_2014,BW030_BW031,BW030,BW031,Clarke,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.824561404,0.98971065,0.998637144,1
BW033_BW050_den_2015,BW033_BW050,BW033,BW050,Petitot,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.29201817,0.611611691,0.967995735,NA
BW033_BW050_rend_2015,BW033_BW050,BW033,BW050,Petitot,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.381362978,0.775380871,0.973682851,NA
BW033_BW050_winter_2015_2016,BW033_BW050,BW033,BW050,Petitot,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.286624204,0.629630677,0.94828653,NA
BW035_BW036_den_2015,BW035_BW036,BW035,BW036,Fortune,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.266099227,0.363521004,0.906576598,NA
BW035_BW036_winter_2014_2015,BW035_BW036,BW035,BW036,Fortune,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.529801325,0.541547261,0.956094701,NA
BW038_BW039_den_2016,BW038_BW039,BW038,BW039,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.258992806,0.402499173,0.788695423,NA
BW038_BW039_rend_2015,BW038_BW039,BW038,BW039,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.057069993,0.657275123,0.909933224,NA
BW038_BW039_rend_2016,BW038_BW039,BW038,BW039,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.102094241,0.395085013,0.856829607,NA
BW038_BW039_winter_2014_2015,BW038_BW039,BW038,BW039,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.162679426,0.772383066,0.98353639,NA
BW038_BW039_winter_2015_2016,BW038_BW039,BW038,BW039,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.378524946,0.799125729,0.978359543,NA
BW038_BW040_den_2016,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.116352201,0.130618972,0.610017294,NA
BW038_BW040_rend_2015,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.069759931,0.616700704,0.927264505,NA
BW038_BW040_rend_2016,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.148051019,0.484451013,0.936889423,NA
BW038_BW040_winter_2014_2015,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.107142857,0.621195101,0.943862817,NA
BW038_BW040_winter_2015_2016,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.202771466,0.77958035,0.959863186,NA
BW038_BW040_winter_2016_2017,BW038_BW040,BW038,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.623608018,0.820255753,0.990768642,NA
BW039_BW040_den_2015,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.325801548,0.636740887,0.953875317,NA
BW039_BW040_den_2016,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.191142191,0.533637117,0.891171607,NA
BW039_BW040_rend_2015,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.329171309,0.734313284,0.971806503,NA
BW039_BW040_rend_2016,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.47539834,0.802272269,0.983218774,NA
BW039_BW040_winter_2014_2015,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.429078014,0.631286595,0.94569673,NA
BW039_BW040_winter_2015_2016,BW039_BW040,BW039,BW040,Elleh,GW,wolf,0,1,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.647180193,0.890206349,0.995610448,NA
BW1006_BW1606_winter_2017_2018,BW1006_BW1606,BW1006,BW1606,Bearpaw,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.579545455,0.706412312,0.982450705,1
BW1106_BW1107_winter_2010_2011,BW1106_BW1107,BW1106,BW1107,McKinley Slough,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.741463415,0.99637979,0.999635225,0
BW1106_BW1107_winter_2011_2012,BW1106_BW1107,BW1106,BW1107,McKinley Slough,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.81097561,0.875992722,0.987159039,1
BW1201_BW1203_winter_2011_2012,BW1201_BW1203,BW1201,BW1203,East Fork,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.947906027,0.975349313,0.999372501,0
BW1202_BW1406_den_2015,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.323529412,0.071749164,0.63871211,1
BW1202_BW1406_den_2016,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.513513514,0.522943145,0.902246396,1
BW1202_BW1406_rend_2015,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.598214286,0.839920364,0.984141396,1
BW1202_BW1406_rend_2016,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.645454545,0.824552537,0.988816676,1
BW1202_BW1406_winter_2014_2015,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.863636364,0.916289896,0.998457118,1
BW1202_BW1406_winter_2015_2016,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.907949791,0.983999068,0.999700309,1
BW1202_BW1406_winter_2016_2017,BW1202_BW1406,BW1202,BW1406,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.973894126,0.998939025,0.999792977,1
BW1202_BW1601_winter_2015_2016,BW1202_BW1601,BW1202,BW1601,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.761904762,0.705826092,0.946176049,1
BW1202_BW1801_winter_2017_2018,BW1202_BW1801,BW1202,BW1801,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.946236559,0.913533821,0.973856269,1
BW1208_BW1405_den_2015,BW1208_BW1405,BW1208,BW1405,Iron Creek West,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.428571429,0.292819244,0.846987032,1
BW1208_BW1405_rend_2015,BW1208_BW1405,BW1208,BW1405,Iron Creek West,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.613636364,0.820789509,0.990561532,1
BW1208_BW1405_winter_2014_2015,BW1208_BW1405,BW1208,BW1405,Iron Creek West,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.901960784,0.928847564,0.994714375,1
BW1208_BW1405_winter_2015_2016,BW1208_BW1405,BW1208,BW1405,Iron Creek West,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.967741935,0.990090628,0.999854719,1
BW1302_BW1605_rend_2016,BW1302_BW1605,BW1302,BW1605,John Hansen,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.379310345,0.465297512,0.834737093,1
BW1302_BW1605_winter_2015_2016,BW1302_BW1605,BW1302,BW1605,John Hansen,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.8125,0.983392767,0.998177572,1
BW1302_BW1605_winter_2016_2017,BW1302_BW1605,BW1302,BW1605,John Hansen,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.853333333,0.905121768,0.999601511,1
BW1302_BW1707_rend_2017,BW1302_BW1707,BW1302,BW1707,John Hansen,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.653846154,0.744502864,0.991070052,1
BW1302_BW1707_winter_2017_2018,BW1302_BW1707,BW1302,BW1707,John Hansen,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.837558685,0.996330585,0.999756828,1
BW1404_BW1501_den_2016,BW1404_BW1501,BW1404,BW1501,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.214285714,0.2132382,0.675258004,1
BW1404_BW1501_rend_2015,BW1404_BW1501,BW1404,BW1501,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.880252101,0.612391297,0.990785315,1
BW1404_BW1501_rend_2016,BW1404_BW1501,BW1404,BW1501,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.564516129,0.665899656,0.943082512,1
BW1404_BW1501_winter_2015_2016,BW1404_BW1501,BW1404,BW1501,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.961373391,0.997591969,0.999712325,1
BW1404_BW1501_winter_2016_2017,BW1404_BW1501,BW1404,BW1501,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.901800327,0.992376113,0.999696768,1
BW1404_BW1602_rend_2016,BW1404_BW1602,BW1404,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.472340426,0.757994666,0.986914166,0
BW1404_BW1602_winter_2015_2016,BW1404_BW1602,BW1404,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.83902439,0.993334304,0.999315324,0
BW1404_BW1602_winter_2016_2017,BW1404_BW1602,BW1404,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.869742198,0.997351267,0.999629148,0
BW1406_BW1601_winter_2015_2016,BW1406_BW1601,BW1406,BW1601,Riley Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.79245283,0.714694892,0.946080185,1
BW1501_BW1602_rend_2016,BW1501_BW1602,BW1501,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.350877193,0.697273483,0.879661604,0
BW1501_BW1602_winter_2015_2016,BW1501_BW1602,BW1501,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.833333333,0.989042546,0.998074257,0
BW1501_BW1602_winter_2016_2017,BW1501_BW1602,BW1501,BW1602,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.842880524,0.991536827,0.999860372,0
BW1503_BW1504_rend_2016,BW1503_BW1504,BW1503,BW1504,Myrtle,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.552631579,0.456024853,0.889417062,1
BW1503_BW1504_winter_2015_2016,BW1503_BW1504,BW1503,BW1504,Myrtle,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.779527559,0.895927141,0.99527617,1
BW1503_BW1603_winter_2015_2016,BW1503_BW1603,BW1503,BW1603,Myrtle,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.721518987,0.841127853,0.994246956,1
BW1504_BW1603_winter_2015_2016,BW1504_BW1603,BW1504,BW1603,Myrtle,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.838235294,0.979606727,0.999217799,1
BW1604_BW1802_winter_2017_2018,BW1604_BW1802,BW1604,BW1802,Eagle Gorge,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.786821705,0.943990475,0.998739372,1
BW1608_BPW1705_den_2017,BW1608_BPW1705,BW1608,BPW1705,Big Trout,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.708791209,0.571814967,0.954803957,1
BW1608_BPW1705_winter_2016_2017,BW1608_BPW1705,BW1608,BPW1705,Big Trout,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.885835095,0.930706777,0.996985122,0
BW1609_BPW1707_winter_2016_2017,BW1609_BW1707,BW1609,BW1707,Cauliflower,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.458244111,0.797879532,0.985528406,1
BW1610_BW1710_den_2017,BW1610_BW1710,BW1610,BW1710,Swan,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.454545455,0.66690886,0.947691958,1
BW1610_BW1710_winter_2016_2017,BW1610_BW1710,BW1610,BW1710,Swan,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.921225383,0.961359827,0.999301228,0
BW1613_BW1615_winter_2016_2017,BW1613_BW1615,BW1613,BW1615,Billings,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.657309298,0.82705493,0.994595936,0
BW1619_BW1709_rend_2017,BW1619_BW1709,BW1619,BW1709,Cameron,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.202247191,0.506385476,0.851721815,1
BW1619_BW1709_winter_2017_2018,BW1619_BW1709,BW1619,BW1709,Cameron,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.706521739,0.729684843,0.966436341,1
BW1633_BW1634_winter_2016_2017,BW1633_BW1634,BW1633,BW1634,Shirley,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.381733021,0.680976129,0.989429716,0
BW1637_BW1640_winter_2016_2017,BW1637_BW1640,BW1637,BW1640,Loontail,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.297752809,0.307010413,0.852667351,0
BW1637_BW1642_winter_2016_2017,BW1637_BW1642,BW1637,BW1642,Loontail,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.334728033,0.529247705,0.898013682,0
BW1640_BW1642_winter_2016_2017,BW1640_BW1642,BW1640,BW1642,Loontail,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.233962264,0.56654235,0.919959051,1
BW1647_BW1649_winter_2016_2017,BW1647_BW1649,BW1647,BW1649,Brule2,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.531791908,0.415692051,0.950367952,0
BW1702_BW1705_den_2017,BW1702_BW1705,BW1702,BW1705,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.6,0.733725378,0.966157426,0
BW1702_BW1705_rend_2017,BW1702_BW1705,BW1702,BW1705,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.616666667,0.864379741,0.987313726,0
BW1702_BW1705_winter_2017_2018,BW1702_BW1705,BW1702,BW1705,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.842105263,0.812464253,0.991406969,0
BW1702_BW1706_den_2017,BW1702_BW1706,BW1702,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.545454545,0.785280812,0.969657774,NA
BW1702_BW1706_rend_2017,BW1702_BW1706,BW1702,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.661016949,0.863001429,0.983423876,NA
BW1702_BW1706_winter_2017_2018,BW1702_BW1706,BW1702,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.881578947,0.831505613,0.996022044,NA
BW1705_BW1706_den_2017,BW1705_BW1706,BW1705,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,den,nw,1,0,0,0.727272727,0.89360022,0.998414908,NA
BW1705_BW1706_rend_2017,BW1705_BW1706,BW1705,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.775862069,0.920907488,0.994389685,NA
BW1705_BW1706_winter_2017_2018,BW1705_BW1706,BW1705,BW1706,Comb,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.87804878,0.84865336,0.996785766,NA
BW1709_BW1807_den_2018,BW1709_BW1807,BW1709,BW1807,Cameron,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,den,nw,1,0,0,0.374859708,0.653070757,0.959839492,1
BW1709_BW1807_rend_2018,BW1709_BW1807,BW1709,BW1807,Cameron,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.134897361,0.56630638,0.888932768,1
BW1709_BW1807_winter_2017_2018,BW1709_BW1807,BW1709,BW1807,Cameron,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.280732498,0.556559648,0.96746633,1
BW1721_BW1722_rend_2017,BW1721_BW1722,BW1721,BW1722,MacKenzie Pond,GW,wolf,0,1,1,0,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.089108911,0.671591553,0.93732397,0
BW1726_BW1728_rend_2017,BW1726_BW1728,BW1726,BW1728,Hay Creek,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,rend,nw,0,1,0,0.095233896,0.630027106,0.87292484,1
BW1726_BW1728_winter_2017_2018,BW1726_BW1728,BW1726,BW1728,Hay Creek,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.584071088,0.826479962,0.965701276,1
BW1743_BW1745_winter_2017_2018,BW1743_BW1745,BW1743,BW1745,Brule,EW,wolf,0,1,0,1,0,0,Ontario_Algonquin_Kawartha,winter,winter,0,0,1,0.148148148,0.398182924,0.671839786,0
BW811_BW1103_rend_2011,BW811_BW1103,BW811,BW1103,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,rend,nw,0,1,0,0.684931507,0.894760826,0.981231197,1
BW811_BW1103_winter_2010_2011,BW811_BW1103,BW811,BW1103,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.688432836,0.757414661,0.971803157,0
BW811_BW1103_winter_2011_2012,BW811_BW1103,BW811,BW1103,Grant Creek,GW,wolf,0,1,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.816872428,0.929918724,0.997219612,1
csw1_csw2_winter_2009_2010,csw1_csw2,csw1,csw2,Crazy_Slough,GW,wolf,0,1,1,0,0,0,Alaska_YukonFlatsNWR,winter,winter,0,0,1,0.820750041,0.728178638,0.986623774,0
ER_W_32_ER_W_34_den_2017,ER_W_32_ER_W_34,ER_W_32_ER_W,34,Manigotagan,GW,wolf,0,1,1,0,0,0,Manitoba_E_Winnipeg,den,nw,1,0,0,0.168831169,0.498101456,0.815996538,1
ER_W_32_ER_W_34_rend_2017,ER_W_32_ER_W_34,ER_W_32_ER_W,34,Manigotagan,GW,wolf,0,1,1,0,0,0,Manitoba_E_Winnipeg,rend,nw,0,1,0,0.394366197,0.609049089,0.938817752,1
ER_W_32_ER_W_34_winter_2016_2017,ER_W_32_ER_W_34,ER_W_32_ER_W,34,Manigotagan,GW,wolf,0,1,1,0,0,0,Manitoba_E_Winnipeg,winter,winter,0,0,1,0.535714286,0.854653617,0.993058473,1
