dyad_season_year,dyad_ID,PackID,species,SA,season,season2,den,rend,winter,Cohesion,BreedPair,sex_combo.1,FF,MM,FM,Same,LargePred,Exploit,largeprey,SE,NE,West,Human,PCV,Long,Lat
AL11M_AL19F_den_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.273273273,0,female_male,0,0,1,0,0,1,1,1,0,0,0.117086788,2.32400209,-85.38672747,32.01042487
AL11M_AL19F_rend_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,rend,nw,0,1,0,0.451038576,0,female_male,0,0,1,0,0,1,1,1,0,0,0.111500262,2.104823898,-85.38582351,32.00884416
AL11M_AL19F_winter_2014_2015,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.597796143,0,female_male,0,0,1,0,0,1,1,1,0,0,0.113579105,2.134083031,-85.38539778,32.00981387
AL11M_AL19F_winter_2015_2016,AL11M_AL19F,Grant,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.628571429,1,female_male,0,0,1,0,0,1,1,1,0,0,0.106822733,2.222379076,-85.39064675,32.00324937
AL14M_AL26M_den_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,den,nw,1,0,0,0.099678457,0,male_male,0,1,0,1,0,1,1,1,0,0,0.114325229,2.311938276,-85.4102137,32.02964661
AL14M_AL26M_rend_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,rend,nw,0,1,0,0.094814815,0,male_male,0,1,0,1,0,1,1,1,0,0,0.106881469,2.104291019,-85.41485007,32.02716508
AL14M_AL26M_winter_2014_2015,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.057377049,0,male_male,0,1,0,1,0,1,1,1,0,0,0.110694225,2.483213975,-85.41228689,32.02765417
AL14M_AL26M_winter_2015_2016,AL14M_AL26M,Hwy 82,coyote,Alabama_W_Eufaulia,winter,winter,0,0,1,0.108291032,0,male_male,0,1,0,1,0,1,1,1,0,0,0.109916501,2.252464007,-85.41326515,32.02139236
AL16F_AL20M_den_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,den,nw,1,0,0,0.860946746,1,female_male,0,0,1,0,0,1,1,1,0,0,0.161516916,2.508401853,-85.70163771,32.3020893
AL16F_AL20M_rend_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,rend,nw,0,1,0,0.838278932,1,female_male,0,0,1,0,0,1,1,1,0,0,0.162827253,2.233257368,-85.70316923,32.30190629
AL16F_AL20M_winter_2014_2015,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.715068493,1,female_male,0,0,1,0,0,1,1,1,0,0,0.177033056,2.2247213,-85.70113484,32.30165235
AL16F_AL20M_winter_2015_2016,AL16F_AL20M,East Pine Grove,coyote,Alabama_E_Montgomery,winter,winter,0,0,1,0.879093199,1,female_male,0,0,1,0,0,1,1,1,0,0,0.171349691,2.370244076,-85.7021251,32.30375983
AL27F_AL28M_winter_2015_2016,AL27F_AL28M,Joyes,coyote,Alabama_Troy,winter,winter,0,0,1,0.194029851,0,female_male,0,0,1,0,0,1,1,1,0,0,0.246447155,2.329195583,-86.05981257,31.75762997
AL27F_AL32M_winter_2015_2016,AL27F_AL32M,Joyes,coyote,Alabama_Troy,winter,winter,0,0,1,0.062992126,0,female_male,0,0,1,0,0,1,1,1,0,0,0.262983891,2.32358207,-86.05427261,31.75750086
AL38M_AL39M_den_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,den,nw,1,0,0,0.06779661,0,male_male,0,1,0,1,0,1,1,1,0,0,0.329217458,2.305089731,-85.98122316,31.90225672
AL38M_AL39M_rend_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.067365269,0,male_male,0,1,0,1,0,1,1,1,0,0,0.325958288,2.410121404,-85.98185523,31.90471256
AL38M_AL39M_winter_2015_2016,AL38M_AL39M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.123258307,0,male_male,0,1,0,1,0,1,1,1,0,0,0.33652789,2.224460208,-85.98407713,31.90088967
AL38M_AL40M_winter_2015_2016,AL38M_AL40M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.063186813,0,male_male,0,1,0,1,0,1,1,1,0,0,0.35348132,2.324578167,-85.98561847,31.89074908
AL38M_AL48M_rend_2016,AL38M_AL48M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.055737705,0,male_male,0,1,0,1,0,1,1,1,0,0,0.33160213,2.410817511,-85.98358942,31.90467251
AL38M_AL48M_winter_2015_2016,AL38M_AL48M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.16395112,0,male_male,0,1,0,1,0,1,1,1,0,0,0.335980947,2.229981592,-85.98369672,31.90033403
AL38M_AL53M_winter_2015_2016,AL38M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.233196159,0,male_male,0,1,0,1,0,1,1,1,0,0,0.33321709,2.270867128,-85.9826033,31.90089619
AL39M_AL48M_den_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,den,nw,1,0,0,0.123595506,0,male_male,0,1,0,1,0,1,1,1,0,0,0.331539588,2.323806139,-85.98325465,31.909657
AL39M_AL48M_rend_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,rend,nw,0,1,0,0.076175041,0,male_male,0,1,0,1,0,1,1,1,0,0,0.321044432,2.425818229,-85.98026967,31.90369703
AL39M_AL48M_winter_2015_2016,AL39M_AL48M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.194499018,0,male_male,0,1,0,1,0,1,1,1,0,0,0.335006687,2.23276333,-85.9832867,31.89996179
AL39M_AL53M_winter_2015_2016,AL39M_AL53M,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.152380952,0,male_male,0,1,0,1,0,1,1,1,0,0,0.330794401,2.26903184,-85.98215957,31.90029281
AL39M_AL54F_winter_2015_2016,AL39M_AL54F,Childs,coyote,Alabama_Troy,winter,winter,0,0,1,0.075075075,0,female_male,0,0,1,0,0,1,1,1,0,0,0.341869293,2.319498061,-85.98657421,31.90695467
