dyad_season_year,dyad_ID,PackID,Species1,Species2,GW,EW,RW,Mixed,SA,season,season2,den,rend,winter,Cohesion,Adult,Exploit,LargePred,Prey,Beaver,PackSize,Human,PCV,Long,Lat
w77_w80_winter_2003_2004,w77_w80,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,winter,winter,0,0,1,0.381630013,0,1,1,1,1,14,0.053396743,2.260872728,-115.5571989,51.73515559
w77_w86_rend_2004,w77_w86,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,rend,nw,0,1,0,0.385986733,0,1,1,1,1,14,0.046255877,1.752495348,-115.6944224,51.78104712
w80_w86_rend_2004,w80_w86,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,rend,nw,0,1,0,0.286555447,0,1,1,1,1,14,0.046165283,1.76214471,-115.694585,51.79344108
w77_w80_rend_2004,w77_w80,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,rend,nw,0,1,0,0.261244019,0,1,1,1,1,14,0.045717854,1.767974119,-115.6941161,51.79827991
w77_w80_den_2004,w77_w80,Ya Ha Tinda,GW,wolf,1,0,0,0,Alberta_W_YaHaTinda,den,nw,1,0,0,0.13800738,0,1,1,1,1,14,0.053824332,1.843237772,-115.5774473,51.76195966
BW1202_BW1406_winter_2016_2017,BW1202_BW1406,Riley Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.973894126,1,0,1,1,1,14,0.002386912,1.947600269,-149.3973755,63.65222413
BW024_BW025_winter_2013_2014,BW024_BW025,Kwokullie,GW,wolf,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.171974522,1,0,1,1,0,13.5,0.012963336,2.291511291,-120.9006337,59.45389377
BW030_BW031_winter_2013_2014,BW030_BW031,Clarke,GW,wolf,1,0,0,0,British_Columbia_N,winter,winter,0,0,1,0.824561404,1,0,1,1,0,13.5,0.000490461,2.536737462,-122.2313147,58.63091573
BW024_BW025_den_2014,BW024_BW025,Kwokullie,GW,wolf,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.172578348,1,0,1,1,0,13.5,0.012187977,2.288508679,-120.9428182,59.44596582
BW024_BW025_rend_2014,BW024_BW025,Kwokullie,GW,wolf,1,0,0,0,British_Columbia_N,rend,nw,0,1,0,0.10078011,1,0,1,1,0,13.5,0.004579612,2.437797053,-120.9900753,59.43748139
BW030_BW031_den_2014,BW030_BW031,Clarke,GW,wolf,1,0,0,0,British_Columbia_N,den,nw,1,0,0,0.357142857,1,0,1,1,0,13.5,0.00034639,2.57041649,-122.3229558,58.68330632
W015_W019_winter_2007_2008,W015_W019,murray,GW,wolf,1,0,0,0,British_Columbia_E,winter,winter,0,0,1,0.782222222,1,1,1,1,1,13,0.015870313,1.344168416,-121.5311298,54.890447
W016_W024_winter_2008_2009,W016_W024,chain,GW,wolf,1,0,0,0,British_Columbia_E,winter,winter,0,0,1,0.611455207,1,1,1,1,1,13,0.034260226,1.739572258,-120.2762383,55.06920061
W016_W028_winter_2008_2009,W016_W028,chain,GW,wolf,1,0,0,0,British_Columbia_E,winter,winter,0,0,1,0.420996678,1,1,1,1,1,13,0.040943765,1.775533763,-120.0889559,55.13375725
W024_W028_winter_2009_2010,W024_W028,chain,GW,wolf,1,0,0,0,British_Columbia_E,winter,winter,0,0,1,0.714285714,1,1,1,1,1,13,0.046244708,2.026147977,-120.0977347,55.13108498
W024_W028_winter_2008_2009,W024_W028,chain,GW,wolf,1,0,0,0,British_Columbia_E,winter,winter,0,0,1,0.22972973,1,1,1,1,1,13,0.039109523,2.12437485,-120.1896656,55.12213774
W024_W028_den_2009,W024_W028,chain,GW,wolf,1,0,0,0,British_Columbia_E,den,nw,1,0,0,0.224867725,1,1,1,1,1,13,0.039540518,1.772672513,-120.1744115,55.06443512
W024_W028_rend_2009,W024_W028,chain,GW,wolf,1,0,0,0,British_Columbia_E,rend,nw,0,1,0,0.373083927,1,1,1,1,1,13,0.043087429,2.087061562,-120.0882359,55.11325701
ER_W_32_ER_W_34_winter_2016_2017,ER_W_32_ER_W_34,Manigotagan,GW,wolf,1,0,0,0,Manitoba_E_Winnipeg,winter,winter,0,0,1,0.535714286,1,1,1,1,1,13,0.002377169,2.142880131,-95.4351311,50.84745974
ER_W_32_ER_W_34_den_2017,ER_W_32_ER_W_34,Manigotagan,GW,wolf,1,0,0,0,Manitoba_E_Winnipeg,den,nw,1,0,0,0.168831169,1,1,1,1,1,13,0.002599017,2.176510925,-95.43751622,50.84857463
ER_W_32_ER_W_34_rend_2017,ER_W_32_ER_W_34,Manigotagan,GW,wolf,1,0,0,0,Manitoba_E_Winnipeg,rend,nw,0,1,0,0.394366197,1,1,1,1,1,13,0.001633039,2.211123802,-95.49435858,50.8327485
BW811_BW1103_winter_2011_2012,BW811_BW1103,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.816872428,1,0,1,1,1,13,0.001996633,1.675174066,-149.7193271,63.57993508
W22759_W22760_winter_2016_2017,W22759_W22760,Chernobyl2,GW,wolf,1,0,0,0,Chernobyl,winter,winter,0,0,1,0.20163127,1,0,1,1,1,13,0.387349062,2.22870098,29.92885419,51.5679883
W22759_W22761_winter_2016_2017,W22759_W22761,Chernobyl2,GW,wolf,1,0,0,0,Chernobyl,winter,winter,0,0,1,0.11390073,0,0,1,1,1,13,0.379612402,2.243969332,29.93703109,51.56657983
W22760_W22761_winter_2016_2017,W22760_W22761,Chernobyl2,GW,wolf,1,0,0,0,Chernobyl,winter,winter,0,0,1,0.121860824,0,0,1,1,1,13,0.406468594,2.285514351,29.91764344,51.56684691
Mich02_Mich03_winter_2018_2019,Mich02_Mich03,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.4,1,0,0,1,1,12,0.009306972,2.775930844,-85.76593253,47.72691583
Mich07_Mich11_winter_2018_2019,Mich07_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.364864865,0,0,0,1,1,12,0.012102628,2.667405126,-85.78375077,47.72528639
Mich03_Mich07_winter_2018_2019,Mich03_Mich07,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.203703704,0,0,0,1,1,12,0.010375561,2.690503188,-85.76218052,47.73077136
Mich03_Mich11_winter_2018_2019,Mich03_Mich11,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,winter,winter,0,0,1,0.175182482,0,0,0,1,1,12,0.008092749,2.722765515,-85.78371895,47.73293412
Mich03_Mich07_rend_2018,Mich03_Mich07,Mich,GW,wolf,1,0,0,0,Ontario_Michipicoten,rend,nw,0,1,0,0.070707071,0,0,0,0,1,12,0.005285863,2.532143728,-85.75367806,47.74025444
BW1404_BW1501_winter_2016_2017,BW1404_BW1501,Grant Creek,GW,wolf,1,0,0,0,Alaska_Denali,winter,winter,0,0,1,0.901800327,1,0,1,1,1,12,0.003739633,1.926508951,-149.2670438,63.47678125
